Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Proteoglycans in cancer	142/205	1.47882972269901e-19	4.71746681540983e-17	0	0	3.69262665304249	160.104410575997	IHH;FZD10;FGF2;ACTB;ACTG1;IGF1R;PPP1CB;PPP1CC;CCND1;PLAU;AKT2;MYC;AKT3;KDR;AKT1;PRKACA;PRKACB;MAP2K1;WNT5B;PRKCB;HGF;RPS6;WNT5A;ANK2;FRS2;ANK3;HSPG2;TIAM1;SMO;EZR;RAF1;TP53;DDX5;SDC4;SDC2;PXN;ITPR1;PIK3R3;TWIST1;ITPR2;PIK3R2;ITPR3;IQGAP1;PIK3R1;HIF1A;SLC9A1;PLCG1;WNT4;SMAD2;WNT10B;FZD3;TGFB2;FZD2;FZD4;CAV2;WNT3A;CAV1;PTCH1;FZD6;RDX;FN1;IGF2;FZD8;MSN;BRAF;IGF1;ESR1;PTK2;COL1A1;COL1A2;MDM2;SDC1;GRB2;FGFR1;CDKN1A;WNT2B;FASLG;PIK3CB;CASP3;TIMP3;ITGAV;RAC1;VAV3;ARHGEF12;PPP1R12A;PDPK1;ITGA2;MMP2;GAB1;PLAUR;RRAS2;WNT9A;MMP9;RHOA;DCN;VAV2;MRAS;CTTN;PIK3CA;ITGA5;PPP1R12B;SOS1;MET;PPP1R12C;SOS2;CD44;HBEGF;CD63;CAMK2D;ROCK1;ROCK2;CAMK2A;CBL;THBS1;EGFR;CDC42;NRAS;PAK1;ERBB3;ERBB4;GPC3;FLNA;DROSHA;MAPK1;FLNC;CAMK2G;EIF4B;MAPK3;STAT3;WNT7A;MAPK14;MTOR;VEGFA;MAPK13;TFAP4;RPS6KB1;RPS6KB2;PDCD4;CTNNB1;FAS;KRAS;PTPN6
Pathways in cancer	302/531	9.44352827372264e-19	1.50624275965876e-16	0	0	2.17778747784035	90.3864278266092	RB1;HHIP;KEAP1;FZD10;CRKL;EDNRB;FRAT2;RPS6KA5;TFG;AKT2;MYC;RASSF5;AKT3;AKT1;IL12A;PRKACA;SKP2;PRKACB;SKP1;DAPK1;PRKCB;RUNX1;BCR;EML4;AR;ADCY9;TP53;CTBP2;CTBP1;EPAS1;PDGFB;LPAR1;MGST1;PDGFA;MGST2;PIK3R3;TGFA;LPAR3;PIK3R2;PIK3R1;HIF1A;PLCG1;FADD;RALGDS;JAG2;WNT10B;STAT5B;CREBBP;FZD3;JUN;FZD2;JAG1;JUP;FZD4;FZD6;FN1;IGF2;FZD8;BRAF;IGF1;GNG12;PTK2;LPAR6;CALM3;GRB2;CALM1;CALM2;CDKN1A;CDKN1B;BRCA2;GLI3;BBC3;GLI2;IKBKB;HEY1;MECOM;HEY2;ELOC;RAC1;JAK3;APPL1;JAK1;NCOA1;EDN1;IFNGR1;IFNGR2;NCOA3;NCOA4;FOS;WNT9A;RHOA;PLCB4;KIT;RARB;PPARG;PLCB1;PPARD;PTGER4;GSTP1;PTGER3;GNAI3;ADCY3;CXCR4;XIAP;ADCY2;ADCY1;PTGS2;ADCY7;ADCY6;EGFR;GNAI1;GNAI2;NRAS;RXRA;CTNNA1;CTNNA3;CTNNA2;BID;RUNX1T1;EGLN1;ARNT2;CDKN2B;EGLN3;EGLN2;CDKN2A;STAT1;STAT2;STAT3;WNT7A;VEGFC;VEGFA;CCDC6;CTNNB1;FAS;IL5RA;FGF2;ETS1;IGF1R;FGF5;FGF7;CCND3;CCND2;FGF9;CCND1;CDH1;PIM1;EP300;PIM2;IL6R;IFNAR2;PDGFRA;MAP2K1;RALBP1;WNT5B;TPM3;HGF;F2R;WNT5A;MITF;MSH6;MSH2;SMO;CCNE2;COL4A2;CCNE1;COL4A1;COL4A6;COL4A5;IL6ST;RAF1;IFNAR1;NOTCH2;NOTCH3;NOTCH1;CUL2;CUL1;STK4;RASGRP1;FOXO1;HSP90B1;BCL2L11;TPR;ABL1;DVL3;PMAIP1;WNT4;SMAD2;SMAD4;TGFB2;SMAD3;WNT3A;ZBTB16;PTCH1;PTCH2;ESR1;NFKB1;BMP4;BMP2;IL6;CDK6;CXCL12;CDK4;SP1;GNAQ;GNB2;CDK2;FGF18;GNB1;BCL2;MDM2;GNAS;GNB4;CYCS;GNB5;FGFR3;FGFR2;BCL2L1;NFE2L2;FGFR1;GSK3B;HSP90AB1;CXCL8;WNT2B;PTEN;SLC2A1;FASLG;LAMC2;PIK3CB;LAMC1;CKS1B;CASP8;CASP3;BDKRB2;ITGAV;POLK;NKX3-1;ARHGEF11;HSP90AA1;ARHGEF12;APAF1;CHUK;DCC;MMP1;ITGA2;MMP2;ARNT;AXIN2;MMP9;TGFBR1;TGFBR2;CCNA2;PIK3CA;TRAF4;TRAF3;TRAF5;BIRC5;ITGA6;SOS1;CRK;MET;SOS2;BIRC3;HDAC2;CAMK2D;RALB;ROCK1;ROCK2;CAMK2A;LAMA3;LEF1;CBL;DLL1;LRP6;CDC42;GNA13;MAPK9;MAPK8;GNG2;GNG5;GNA12;E2F1;E2F2;MAPK1;E2F3;HES1;VHL;CAMK2G;MAPK3;TCF7L2;TCF7L1;LAMB3;NOS2;TXNRD2;TXNRD1;LAMB1;MTOR;PML;MAPK10;RPS6KB1;IL2RB;RPS6KB2;KRAS
MAPK signaling pathway	176/294	3.35402227774483e-14	3.56644368866867e-12	0	0	2.44367339806795	75.8174865935233	ATF2;CSF1;IL1RAP;FGF2;CRKL;IGF1R;ELK4;RPS6KA4;FGF5;RPS6KA3;RPS6KA6;FGF7;RPS6KA5;FGF9;AKT2;MYC;RPS6KA2;AKT3;STMN1;KDR;AKT1;MAP3K8;PRKACA;PRKACB;MAP3K7;MAP3K4;MAP3K5;MAP2K3;MAP2K4;PDGFRA;MEF2C;MAP2K1;IL1R1;PRKCB;CACNA2D1;HGF;EREG;MAPK8IP1;CDC25B;CACNB2;CACNB4;RAF1;TP53;EPHA2;PDGFB;PDGFA;TGFA;CACNA1C;NLK;STK4;CACNA1E;RASGRP1;CACNA1G;STK3;RAP1B;CACNA1I;PPP3R1;RAP1A;IRAK1;PDGFD;PDGFC;MAP3K20;MAP2K7;HSPA8;JUN;TGFB2;JUND;BDNF;INSR;IGF2;NFATC3;BRAF;NFATC1;IGF1;HSPA2;GNG12;NFKB1;EFNA1;NR4A1;FGF18;NF1;GRB2;TAB2;MAP3K13;FGFR3;MAP3K14;FGFR2;MAP3K11;MYD88;FGFR1;MAP3K12;PTPRR;FLT1;RASGRF2;ARRB1;FASLG;DUSP16;IKBKB;PPP3CA;PPP3CB;PPP3CC;DUSP10;MECOM;CASP3;RAC1;DUSP4;DUSP5;MAP4K2;DUSP2;DUSP3;CHUK;DUSP1;RRAS2;PLA2G4A;FOS;IRAK4;DUSP8;NGF;DUSP9;DUSP6;TGFBR1;DUSP7;TGFBR2;PPM1A;PPM1B;MRAS;RASA1;KIT;RASA2;RAPGEF2;MAPT;SOS1;CRK;MET;SOS2;SRF;EGFR;CDC42;MAPK9;NRAS;PAK1;MAPK8;MAPK7;ERBB3;ERBB4;MKNK1;GNA12;MKNK2;FLNA;MAPK1;FLNC;PAK2;MAP4K3;CACNG4;MAP4K4;MAPK3;MAP3K2;MAP3K3;ANGPT4;NTRK2;MAP3K1;ANGPT1;VEGFC;MAPK14;VEGFA;MAPK13;MAPK10;TAOK3;TAOK1;TAOK2;FAS;KRAS;PTPN7;LAMTOR3;HSPA1B;HSPA1A
Ubiquitin mediated proteolysis	97/140	8.05094489283104e-14	6.42062855203275e-12	0	0	3.67959477945798	110.941261206754	UBE3C;UBE2D2;UBE2D3;KEAP1;UBE2D1;CBLB;UBE3A;UBE3B;UBE2Z;UBE2L3;CDC20;HERC4;CDC23;HERC1;CDC27;BTRC;SKP2;SKP1;PIAS4;FBXW11;FBXW7;UBE2E3;UBE2E1;UBE2E2;UBE4A;UBE4B;MID1;PIAS2;PIAS1;CDC34;ANAPC1;ANAPC13;CUL7;CUL5;UBA6;CUL3;CUL2;CUL1;NEDD4L;ANAPC10;RHOBTB1;ANAPC11;UBE2J1;SOCS3;COP1;UBB;UBC;UBR5;UBE2H;UBE2I;SMURF2;UBE2B;SMURF1;UBE2C;SIAH1;UBE2A;UBE2W;UBOX5;UBE2S;MDM2;UBA3;UBE2N;UBA2;UBE2O;UBE2K;BRCA1;UBE2Q1;UBE2Q2;ELOC;UBE2QL1;DDB1;UBE2R2;BIRC6;BIRC3;XIAP;RNF7;CBL;RCHY1;VHL;MAP3K1;PPIL2;HUWE1;SYVN1;WWP1;UBE2G1;WWP2;UBE2G2;PML;CUL4A;KLHL9;ITCH;NEDD4;ERCC8;TRIM37;TRIP12;TRIM32;CUL4B
Endocytosis	152/252	7.91161106200552e-13	5.04760785755952e-11	0	0	2.48600026691579	69.2730805253427	WASHC4;VPS29;TFRC;WIPF1;ZFYVE9;WIPF2;WIPF3;ARPC5L;CBLB;IGF1R;KIF5C;KIF5B;KIF5A;VPS35;VPS36;AP2M1;SH3GL2;SH3GL1;SH3GLB1;PDGFRA;SH3GLB2;USP8;IST1;HLA-A;RNF41;ACAP2;ZFYVE16;RUFY2;RAB35;AMPH;STAMBP;VPS25;RAB5B;RAB5C;AGAP1;NEDD4L;VPS26A;SNX4;SNX1;RAB11FIP1;SNX2;GRK5;PIP5K1C;RAB11FIP2;RAB11FIP3;RAB11FIP4;SNX5;RAB11FIP5;SNX6;SMAD2;HSPA8;RAB4A;SMAD3;IQSEC2;SMURF2;IQSEC1;CAV2;SMURF1;CAV1;VTA1;IQSEC3;ARPC5;HSPA2;IGF2R;SPART;DAB2;ARPC2;CHMP2A;MDM2;FGFR3;RAB5A;RNF103-CHMP3;FGFR2;ARF3;ARF4;ARF1;SH3KBP1;ARPC1B;ARPC1A;CLTC;SNX12;CLTA;AP2A1;ARRB1;WASL;RAB22A;EEA1;CAPZB;PSD2;PSD3;CCR5;LDLRAP1;RAB8A;PSD;ACTR3;ACTR2;PDCD6IP;ARAP2;VPS37C;VPS37A;VPS37B;ARFGAP3;RBSN;RHOA;DNM1;EPN1;TGFBR1;ARFGAP2;EPN2;TGFBR2;DNM3;RABEP1;DNAJC6;CHMP3;CHMP7;ARF6;RAB7A;CHMP5;VPS4B;VPS4A;CXCR4;ASAP1;ASAP2;CBL;EGFR;CDC42;CYTH3;CYTH2;PARD6B;MVB12B;AP2S1;EPS15;LDLR;CYTH1;ARFGEF1;GIT2;ARFGEF2;GBF1;WWP1;AP2B1;RAB11A;PML;RAB10;ITCH;CAPZA1;NEDD4;CAPZA2;IL2RB;SMAP2;SMAP1;HSPA1B;HSPA1A
FoxO signaling pathway	90/131	1.35657907431641e-12	6.95980799280566e-11	0	0	3.5778599215509	97.768796897029	CDKN1A;CDKN1B;IRS1;SETD7;IRS4;PTEN;PRKAG2;IRS2;FASLG;PIK3CB;SLC2A4;GRM1;IGF1R;IKBKB;STK11;CCND2;CCND1;AKT2;AKT3;TNFSF10;AKT1;EP300;SKP2;RAG1;IL10;GABARAPL1;MAP2K1;PRKAB2;USP7;CHUK;PDPK1;PRKAB1;SIRT1;TGFBR1;TGFBR2;RBL2;PIK3CA;SGK3;RAF1;SGK1;SOS1;SOS2;PRKAA1;PRKAA2;FOXG1;PIK3R3;PIK3R2;PIK3R1;FOXO3;NLK;STK4;FOXO1;EGFR;MAPK9;CCNB1;MAPK8;NRAS;BCL2L11;S1PR1;MAPK1;PCK2;MAPK3;PLK4;CREBBP;SMAD4;TGFB2;CDKN2B;SMAD3;HOMER1;HOMER2;INSR;PLK2;PLK1;STAT3;BRAF;IGF1;FBXO32;MAPK14;SOD2;KLF2;MAPK13;MAPK10;G6PC2;IL6;BCL6;CCNG2;CDK2;MDM2;GRB2;KRAS
AMPK signaling pathway	84/120	1.52723059403259e-12	6.95980799280566e-11	0	0	3.80165762906141	103.433847392351	CRTC2;IRS1;IRS4;PRKAG2;IRS2;PPP2R2A;PIK3CB;SLC2A4;ELAVL1;IGF1R;STK11;EEF2K;CCND1;PPP2R1B;PPP2R1A;PPP2R5E;AKT2;HNF4A;AKT3;CREB3L2;LEPR;AKT1;MAP3K7;RAB8A;RAB2A;SREBF1;CPT1A;PRKAB2;PDPK1;STRADA;STRADB;PPP2R5A;TSC1;PPP2R5D;PPP2R5C;PRKAB1;SIRT1;CCNA2;TBC1D1;CREB1;PIK3CA;ULK1;PPARG;CREB5;PFKFB2;PFKFB4;PRKAA1;PFKFB3;PRKAA2;CAB39;PIK3R3;PIK3R2;PIK3R1;HMGCR;ADIPOR1;FOXO3;ADIPOR2;ACACA;FOXO1;CAMKK2;PPP2CA;PPP2CB;EIF4EBP1;PPARGC1A;PCK2;INSR;SCD5;IGF1;EEF2;MTOR;RAB10;G6PC2;PFKL;PPP2R2C;RAB14;RPS6KB1;RHEB;PPP2R2B;SCD;FASN;PPP2R2D;RPS6KB2;PFKM;PFKP
Renal cell carcinoma	55/69	2.10903714294746e-12	8.40978560750299e-11	0	0	6.38768115942029	171.731464021727	CDKN1A;SLC2A1;PIK3CB;ETS1;CRKL;FLCN;AKT2;AKT3;AKT1;EP300;ELOC;RAC1;MAP2K1;HGF;GAB1;ARNT;PIK3CA;RAPGEF1;RAF1;SOS1;CRK;MET;SOS2;EPAS1;CUL2;PDGFB;PIK3R3;TGFA;PIK3R2;PIK3R1;HIF1A;CDC42;RAP1B;NRAS;PAK1;RAP1A;MAPK1;PAK6;VHL;PAK3;PAK2;PAK5;MAPK3;PAK4;EGLN1;ARNT2;CREBBP;EGLN3;JUN;TGFB2;EGLN2;BRAF;VEGFA;GRB2;KRAS
Focal adhesion	125/201	4.33550823025596e-12	1.53669680605739e-10	0	0	2.6856015537514	70.2665685670302	TNC;ACTB;ARHGAP35;MYLK3;CRKL;MYLK;ACTG1;IGF1R;MYLK4;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;AKT2;AKT3;KDR;CAPN2;AKT1;PDGFRA;MAP2K1;PRKCB;HGF;ACTN4;COL4A2;COL4A1;COL4A6;COL4A5;TLN2;TLN1;RAF1;VCL;SHC4;SHC1;PXN;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;MYL12A;RAP1B;RAP1A;PDGFD;PDGFC;PIP5K1C;JUN;CAV2;CAV1;FN1;BRAF;PARVA;IGF1;PTK2;COL1A1;DIAPH1;COL1A2;ITGA11;COL9A1;BCL2;GRB2;GSK3B;FLT1;ITGB4;PTEN;ILK;LAMC2;LAMC1;PIK3CB;ARHGAP5;ITGB8;ITGAV;RAC1;ITGB6;VAV3;PPP1R12A;ITGA4;PDPK1;ITGA2;ITGA1;RHOA;VAV2;PIK3CA;COL6A1;RAPGEF1;ITGA8;ITGA6;ITGA5;PPP1R12B;SOS1;CRK;DOCK1;MET;PPP1R12C;SOS2;BIRC3;ITGA9;ROCK1;ROCK2;LAMA3;XIAP;THBS1;EGFR;CDC42;MAPK9;PAK1;MAPK8;RELN;FLNA;PAK6;MAPK1;FYN;FLNC;PAK3;PAK2;PAK5;PAK4;MAPK3;LAMB3;VEGFC;LAMB1;VEGFA;MAPK10;ZYX;CTNNB1
Cellular senescence	102/156	5.18859989966411e-12	1.65516336799285e-10	0	0	3.08036884823309	80.0420206079267	RB1;SERPINE1;ETS1;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;AKT2;MYC;RASSF5;AKT3;CHEK1;CAPN2;AKT1;BTRC;MAP2K3;MAP2K1;FBXW11;IGFBP3;HUS1;TSC1;HLA-A;CDC25A;CCNE2;CCNE1;VDAC3;RAF1;SQSTM1;TP53;ITPR1;ITPR2;PIK3R3;GATA4;ITPR3;PIK3R2;PIK3R1;FOXO3;FOXO1;ZFP36L2;ZFP36L1;CCNB1;PPP3R1;EIF4EBP1;TRPM7;SMAD2;TGFB2;SMAD3;NFATC3;NFATC2;NFATC1;NFKB1;IL6;CDK6;CDK4;RHEB;CDK2;CDK1;MDM2;CALM3;CALM1;CALM2;MCU;RAD9A;LIN54;CDKN1A;CXCL8;PTEN;PIK3CB;FOXM1;PPP3CA;PPP3CB;PPP3CC;MYBL2;RRAS2;SIRT1;TGFBR1;TGFBR2;CCNA2;RBL2;MRAS;RBL1;PIK3CA;LIN9;NRAS;RBBP4;E2F1;E2F2;MAPK1;E2F3;E2F4;E2F5;MAPK3;CDKN2B;CDKN2A;HIPK1;MAPK14;HIPK3;MTOR;HIPK2;MAPK13;KRAS
