"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","300/4633","464/11146",0.646551724137931,1.55546417380561,10.3078811869322,1.21745618716532e-24,1.07266303676587e-21,6.63653989957936e-22,"60/71/102/55109/55750/26523/27161/192669/192670/10142/207/208/10000/139285/51107/83464/408/10533/9530/53335/598/10018/613/627/57448/673/801/805/808/815/817/818/867/891/892/940/941/11140/1024/1026/1027/1051/11116/1147/1185/6249/1213/22866/11064/11052/1385/1387/1445/1452/1487/1488/1499/8454/1523/1639/51009/27123/28514/1786/11221/80824/1848/1849/1850/1852/1937/1956/27436/2033/2065/2066/55914/2069/11160/2099/54845/9715/55294/8817/2247/2250/2252/2254/2260/26127/2263/2261/2266/2280/2335/2305/2308/2309/10818/8087/2534/8322/8323/8325/2549/9648/2803/2804/2885/2932/1839/79885/3066/9759/51564/9734/3280/23462/23493/3082/3092/3320/3549/3586/8826/3662/3667/8660/182/3714/3725/23189/8850/80853/3791/57670/3799/3815/3831/3845/83999/8844/283455/4000/4008/4040/4067/9794/55534/10046/5604/4296/5594/5595/5599/5601/79109/4140/4170/4193/4204/4233/57534/4343/23164/22808/4478/2475/4609/4627/399687/9611/9612/54492/4763/4851/4869/3164/4893/3084/4915/4916/5154/5155/5156/5170/118788/5290/5291/5295/5296/8503/5292/5335/5430/5431/5433/5437/5441/64840/8496/5495/5500/5501/5515/5516/5518/5519/5525/5527/5528/5529/5573/5663/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5728/5782/5777/9444/5879/5894/5903/5906/5908/5925/3516/253260/57674/54894/6194/6199/6238/22872/6400/6464/8036/6500/4087/4088/4089/6654/161742/399473/6711/8878/6772/6774/6777/6801/84447/6907/79718/6934/11044/10342/7039/7046/7048/7094/8658/80351/57690/7157/7170/7171/7175/22906/9321/7291/7297/7314/7316/7414/7415/57599/89780/7525/7529/56829/51530/9372/7750",300
"R-HSA-9012999","R-HSA-9012999","RHO GTPase cycle","292/4633","449/11146",0.650334075723831,1.56456369696046,10.2987797016068,1.32591228277611e-24,1.07266303676587e-21,6.63653989957936e-22,"8086/5825/10006/10152/27/29/91452/60/71/9590/11214/224/57679/51479/23141/22852/54443/116984/84364/26286/392/9824/94134/93663/57569/57584/57636/83478/23092/257106/9743/2909/80728/394/396/9639/9826/23365/22899/9828/23370/26084/50650/50649/8874/23229/200894/10409/613/55845/708/832/857/55704/9738/908/11140/998/8476/9578/10435/10602/56990/79598/1124/11113/10970/1152/1213/9318/1362/144402/79869/1445/8452/23191/23002/1629/1729/1730/81624/10395/9231/23268/1793/55619/1795/9732/80005/57572/23348/1829/1832/667/1894/79180/63916/2010/1969/55914/23197/57579/10144/51306/157769/10160/9855/10979/121512/152273/27145/10211/2319/91010/54874/10818/54438/9815/2697/10672/2802/101059918/57120/2885/3163/3183/3320/3326/9235/8826/10788/128239/6453/50618/182/3728/8997/51133/57498/9928/3895/55004/3930/23592/3954/3998/4001/55227/55219/4296/23263/158747/143098/124540/8776/4548/4580/4646/4649/4650/4690/10787/4698/10276/4810/2631/11188/4952/4983/114885/5058/5062/5063/10298/57144/56924/84612/5099/8654/79834/10424/55023/8301/5290/5295/5296/8503/5586/8502/57480/64857/26030/25894/153478/5361/23129/57580/5783/7879/5879/29127/10928/253959/2889/9462/5924/5930/27316/387/388/9886/389/54509/171177/85415/390/6093/9475/22800/6242/23256/23513/10505/29843/23616/9644/57630/6472/6510/9497/22865/26050/9748/8773/6654/6655/65124/221178/23013/6711/57522/9901/10250/90627/55240/11329/11075/2040/23075/85360/84144/117289/51347/55852/7037/7074/26230/9528/25963/29766/7112/7126/26092/7170/7171/6434/7204/9322/5756/8239/9341/81839/57216/9217/7410/10451/7415/7431/7444/8936/10163/10810/8976/55717/11180/124997/7456/147179/644150/11060/10652/57473",292
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","195/4633","315/11146",0.619047619047619,1.48929522165007,7.42972297531202,1.36099402509778e-13,7.34029444202736e-11,4.54142216795786e-11,"107/108/109/112/113/115/26523/27161/192669/192670/10768/207/208/10000/1386/627/648/801/805/808/815/817/818/10645/84733/8535/23466/57332/940/941/1026/1027/1107/1108/1147/100532731/1385/1457/1956/1958/2065/2066/2069/2099/2146/8817/2247/2250/2252/2254/2260/2263/2261/2308/2309/2444/10818/2534/2549/54815/57459/2885/2932/1839/3066/51564/3082/8870/3556/3643/3654/51135/3667/8660/3708/3709/3710/3725/3815/3838/55004/8649/389541/10542/84232/5594/5595/79109/53615/4193/2122/4233/23608/4343/9112/9219/2475/4615/26960/4734/3164/3084/4915/4916/23252/5136/5137/5154/5155/5156/5170/1912/80012/23239/23035/118788/5290/5291/5295/5296/8503/5305/8396/79837/23396/5335/5371/5468/5515/5516/5518/5519/5525/5527/5528/5529/5566/5567/5573/5576/5577/5580/5581/5613/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5728/5879/5928/5931/23186/5978/6009/253260/81847/6045/6199/10670/58528/57167/6446/153129/6801/23512/7039/8658/80351/27327/23112/57690/7157/57761/7314/7316/8975/7874/11060/331",195
"R-HSA-9700206","R-HSA-9700206","Signaling by ALK in cancer","72/4633","91/11146",0.791208791208791,1.90347791642849,7.29859914256464,2.33886278140971e-13,7.56855996064182e-11,4.68264948446449e-11,"26523/27161/192669/192670/53335/57448/891/1026/1051/1213/8454/1639/1786/1937/27436/2335/2305/10818/9648/2885/3092/3586/3662/3667/3725/3799/3831/4008/5594/5595/5599/5601/4170/4193/4204/4343/4478/4627/4869/5290/5291/5295/5296/5335/8496/5495/5573/5777/5903/5925/57674/6194/6238/22872/6464/6500/8878/6772/6774/6801/10342/57690/7157/7170/7171/7175/7291/7297/7314/7316/7414/51530",72
"R-HSA-9725370","R-HSA-9725370","Signaling by ALK fusions and activated point mutants","72/4633","91/11146",0.791208791208791,1.90347791642849,7.29859914256464,2.33886278140971e-13,7.56855996064182e-11,4.68264948446449e-11,"26523/27161/192669/192670/53335/57448/891/1026/1051/1213/8454/1639/1786/1937/27436/2335/2305/10818/9648/2885/3092/3586/3662/3667/3725/3799/3831/4008/5594/5595/5599/5601/4170/4193/4204/4343/4478/4627/4869/5290/5291/5295/5296/5335/8496/5495/5573/5777/5903/5925/57674/6194/6238/22872/6464/6500/8878/6772/6774/6801/10342/57690/7157/7170/7171/7175/7291/7297/7314/7316/7414/51530",72
"R-HSA-9013409","R-HSA-9013409","RHOJ GTPase cycle","48/4633","55/11146",0.872727272727273,2.0995938229696,6.89459771387325,2.34070737139677e-12,6.31210754486663e-10,3.9052854564883e-10,"392/57584/23092/9743/2909/394/8874/200894/857/998/8476/9578/144402/81624/91010/54874/9815/2697/128239/3728/55004/143098/2631/4952/4983/5058/5062/5063/10298/5295/5296/57580/7879/23513/6510/9497/8773/55240/2040/85360/7037/7112/7204/9341/81839/8976/147179/11060",48
"R-HSA-5683057","R-HSA-5683057","MAPK family signaling cascades","196/4633","325/11146",0.603076923076923,1.45087316741105,6.95733666780641,4.0015502671697e-12,9.24929761754368e-10,5.72251775049381e-10,"51104/60/71/26523/27161/192669/192670/284/402/408/598/673/801/805/808/815/817/818/896/8556/998/10435/10602/983/22866/1445/8452/153090/1739/1740/3337/1843/11221/80824/1844/1846/1847/1848/1849/1850/1852/1956/2065/2066/2069/2118/8817/2247/2250/2252/2254/2260/2263/2261/2266/2335/2339/2342/2308/2309/10818/2534/2668/2674/51125/2885/2904/1839/3082/23463/10642/54756/3560/3568/3569/3570/3572/8826/3667/8660/3716/3718/3725/8997/84078/3815/3845/8844/283455/8649/10434/5604/4296/5594/5595/5596/5597/4140/4233/4343/22808/4609/4684/8202/4747/4763/4893/3084/5058/5062/5063/152559/5147/5154/5155/5156/8682/5290/5291/5295/5296/5500/5501/5515/5516/5518/5519/5525/5527/5528/5529/5566/5567/5588/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5747/5774/5778/5786/5879/5894/5896/5900/10048/5906/5908/9693/5921/5922/8437/9462/221002/5924/10125/9986/23179/5863/6464/8036/6654/161742/399473/6711/6712/57731/8831/7039/7094/27327/23112/57690/7297/7314/7316/7414/7514/7529/51114",196
"R-HSA-9006936","R-HSA-9006936","Signaling by TGFB family members","108/4633","158/11146",0.683544303797468,1.64446035185119,6.88091304431481,6.97340388897752e-12,1.4103709365457e-09,8.72593039265477e-10,"91/130399/92/93/26523/27161/192669/192670/51107/83464/23370/408/25805/650/657/658/659/867/892/8812/904/905/1024/1025/1030/57530/1278/1874/1875/2033/2200/2247/2280/10468/11167/5045/10755/3070/3625/8516/3685/3694/3696/4052/4054/5594/5595/4323/4325/4343/9110/4609/4613/9611/9612/23327/9241/142/56937/5494/5500/5501/23645/5663/5933/387/54778/6256/5054/6497/6498/4086/4087/4088/4089/4090/4092/57154/64750/6667/6772/6938/6929/6925/7027/7029/7042/7046/7048/7049/7050/60436/7077/27327/23112/57690/51592/7314/7316/7321/7323/51377/9958/8239/25937/7514/9765/9372",108
"R-HSA-9013149","R-HSA-9013149","RAC1 GTPase cycle","121/4633","185/11146",0.654054054054054,1.57351316349805,6.63414276516767,3.78959093316541e-11,6.40077138715484e-09,3.96014155824881e-09,"10006/10152/27/29/57679/116984/392/94134/57569/57584/57636/83478/23092/257106/9743/2909/80728/394/396/9639/9826/22899/23370/50649/8874/613/55845/857/998/8476/1124/11113/23191/81624/10395/1793/55619/1795/9732/80005/57572/23348/1894/2010/1969/55914/10144/51306/10160/9855/10979/152273/9815/10672/8826/10788/128239/182/8997/3895/55004/3930/23592/23263/143098/4650/10787/4810/11188/4983/5058/5062/5063/10298/57144/56924/5290/5295/5296/8503/5586/57480/64857/26030/25894/57580/7879/5879/29127/10928/5924/23616/6510/8773/6654/6655/221178/57522/9901/23075/84144/117289/51347/7037/7074/26230/7112/7204/9341/81839/7410/10451/7444/8936/10163/10810/8976/7456/147179/644150/10652",121
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","210/4633","359/11146",0.584958217270195,1.40728346421187,6.61567725942103,3.95597737154193e-11,6.40077138715484e-09,3.96014155824881e-09,"26523/27161/192669/192670/84883/207/208/10000/317/1820/1386/6790/9212/580/27113/604/637/332/665/672/23774/27154/7832/10498/835/839/890/891/898/9134/900/8812/904/905/983/51755/8621/1017/8851/1022/1025/1026/1027/1029/1107/1108/1111/23019/25904/4848/4850/246175/29883/9337/9125/1387/1457/9150/54205/54541/1763/8445/1869/1874/144455/79813/8178/6924/6921/2033/2176/2177/355/2353/2539/54815/57459/2744/2821/2936/2965/2967/3066/204851/28996/3364/3486/3622/133746/3725/10524/7994/55004/8649/389541/10542/1432/79109/53615/9656/4193/4194/4343/4436/9219/2475/10397/51497/26155/4869/9891/5111/5170/64065/51230/55367/5305/8396/79837/90809/5325/10769/5366/5371/5430/5431/5433/5437/5441/5457/5515/5516/5518/5519/5527/639/25824/27166/5562/5563/5564/5565/51422/5728/5876/5884/5892/5883/5928/5931/5932/5933/5934/117584/6009/83695/253260/116028/80196/6118/10670/58528/50484/27244/83667/143686/133383/6446/153129/6749/55240/6794/11198/6872/6882/6883/8148/83860/6874/6877/6879/54457/6880/51616/6908/7027/7029/8795/8793/85456/27327/23112/57690/7157/7159/94241/7161/7248/7295/7296/7314/7316/7874/7529/7531/7532/7533/10971/7534/25946",210
